low_review_rank,low_review_opportunity_rank,rank,nm_id,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,reviews_status,review_rating,wb_product_name,wb_brand,low_review_opportunity_score,sales_trend_label,db_recent14_orders,db_prev14_orders,db_orders_growth_14d_pct,db_recent7_orders,db_prev7_orders,db_orders_growth_7d_pct,db_orders_slope_last28_per_day,db_recent14_revenue,db_prev14_revenue,db_revenue_growth_14d_pct,db_orders_total,db_order_revenue_total,db_buyouts_total,db_buyout_revenue_total,db_orders_per_1000_impressions,db_order_conversion_from_clicks,db_cart_to_order_ratio,db_impressions_total,db_clicks_total,db_carts_total,novelty_relevance_score,db_period_start,db_period_end,reviews_fetched_at,reviews_source
30.0,28.0,26,845020313,https://www.wildberries.ru/catalog/845020313/detail.aspx,1871.0,2026-02-23,126,2026-02-23T16:16:12.109749Z,2026-06-24T12:02:37.617645Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-38.wbbasket.ru/vol8450/part845020/845020313/info/ru/card.json,ok,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,48.98648936170213,declining,521.0,627.0,-16.905901116427437,261.0,260.0,0.3846153846153832,-0.4898741105637653,1096395.0,1401491.0,-21.769387031383005,3313.0,7888520.0,2574.0,6167655.0,2.0804107319805536,2.319573192931358,22.561972214655405,1592474.0,142828.0,14684.0,53.075,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
29.0,29.0,8,827570318,https://www.wildberries.ru/catalog/827570318/detail.aspx,1871.0,2026-02-14,135,2026-02-14T22:28:05.469196Z,2026-06-24T12:02:37.61756Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-37.wbbasket.ru/vol8275/part827570/827570318/info/ru/card.json,ok,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,48.43648936170213,declining,1057.0,1345.0,-21.41263940520446,470.0,587.0,-19.93185689948893,-1.5139573070607528,1926873.0,2544631.0,-24.276918735958176,6100.0,11954475.0,5018.0,9855267.0,2.937310098086896,3.5672306009906376,28.521999345396736,2076730.0,171001.0,21387.0,64.778,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
31.0,25.0,13,291892830,https://www.wildberries.ru/catalog/291892830/detail.aspx,2052.0,2024-11-26,580,2024-11-26T11:11:50.787844Z,2026-06-03T11:12:20.915544Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291892/291892830/info/ru/card.json,ok,4.7,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,52.00159574468085,declining,529.0,557.0,-5.0269299820466795,218.0,311.0,-29.903536977491964,-0.0457875457875457,3071407.0,3173588.0,-3.219731105612955,3055.0,17723860.0,2471.0,14374781.0,0.4879624222614367,1.520051746442432,14.974022154690717,6260728.0,200980.0,20402.0,58.828,2026-03-28,2026-06-25,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
32.0,18.0,34,306190443,https://www.wildberries.ru/catalog/306190443/detail.aspx,2122.0,2024-12-23,553,2024-12-23T14:53:14.577141Z,2026-06-18T09:54:08.19399Z,391886783,Блендер погружной кухонный комбайн с кубикорезом 12 в 1,ok,https://basket-19.wbbasket.ru/vol3061/part306190/306190443/info/ru/card.json,ok,4.8,Блендер погружной кухонный комбайн с кубикорезом 12 в 1,FELFRI,58.43914893617021,growing,325.0,239.0,35.98326359832635,172.0,153.0,12.418300653594772,0.4696223316912974,2291305.0,1814786.0,26.257586293921165,1382.0,11120551.0,1164.0,9439656.0,0.701950426655831,1.7143849550935346,13.280799538727658,1968800.0,80612.0,10406.0,46.547,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
33.0,34.0,21,565176983,https://www.wildberries.ru/catalog/565176983/detail.aspx,2206.0,2025-10-13,259,2025-10-13T18:44:45.837781Z,2026-06-22T15:47:38.377643Z,2690385424,Погружной блендер мощный для измельчения без насадок,ok,https://basket-29.wbbasket.ru/vol5651/part565176/565176983/info/ru/card.json,ok,4.9,Погружной блендер мощный для измельчения без насадок,Tech & Design,41.791702127659576,declining,313.0,371.0,-15.633423180592986,152.0,161.0,-5.590062111801242,-0.4630541871921184,829455.0,969786.0,-14.470305820046892,2583.0,6374502.0,2342.0,5760392.0,1.4969600063054298,2.978105219466639,22.82810428634556,1725497.0,86733.0,11315.0,55.657999999999994,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
34.0,38.0,40,251022820,https://www.wildberries.ru/catalog/251022820/detail.aspx,2346.0,2024-08-08,690,2024-08-08T14:35:52.493712Z,2026-06-29T08:30:47.858468Z,658124207,Блендер погружной мощный 8 в 1 для измельчения и смешивания,ok,https://basket-16.wbbasket.ru/vol2510/part251022/251022820/info/ru/card.json,ok,4.9,Блендер погружной мощный 8 в 1 для измельчения и смешивания,Tech & Design,36.21425531914893,declining,122.0,154.0,-20.779220779220775,60.0,62.0,-3.2258064516129004,-0.1510673234811164,893407.0,1132785.0,-21.131812303305576,1018.0,7444765.0,927.0,6779985.0,0.4475699108157599,1.191270259200749,11.9750617574403,2274505.0,85455.0,8501.0,39.690999999999995,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
35.0,22.0,27,100204048,https://www.wildberries.ru/catalog/100204048/detail.aspx,2456.0,2022-09-15,1383,2022-09-15T10:58:50.130679Z,2026-05-19T10:12:37.939192Z,1249230094,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",ok,https://basket-05.wbbasket.ru/vol1002/part100204/100204048/info/ru/card.json,ok,4.8,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",Pioneer,54.606808510638295,growing,194.0,131.0,48.091603053435115,139.0,55.0,152.72727272727275,0.3910782703886152,1732621.0,1270146.0,36.41116847984405,1539.0,13544911.0,1303.0,11454175.0,0.9131206357550512,1.500731350560702,11.449189108763576,1685429.0,102550.0,13442.0,52.908,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
36.0,36.0,12,706082247,https://www.wildberries.ru/catalog/706082247/detail.aspx,2579.0,2025-12-15,196,2025-12-15T08:55:47.015289Z,2026-06-24T08:14:07.758275Z,1670099544,Блендер ручной погружной Bt HB721SS Черно-серый,ok,https://basket-33.wbbasket.ru/vol7060/part706082/706082247/info/ru/card.json,ok,4.7,Блендер ручной погружной Bt HB721SS Черно-серый,Blackton,37.759361702127656,declining,1122.0,1362.0,-17.62114537444934,390.0,732.0,-46.721311475409834,-1.6524356869184442,1094677.0,1265890.0,-13.525108816721833,7212.0,6580626.0,5903.0,5367883.0,3.1916531984684315,4.408474638434172,29.224410406029666,2259644.0,163594.0,24678.0,61.74799999999999,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
37.0,27.0,18,232842874,https://www.wildberries.ru/catalog/232842874/detail.aspx,2667.0,2024-05-22,768,2024-05-22T12:41:13.732362Z,2026-05-06T08:33:27.150004Z,422295831,Блендер стационарный настольный для смузи CT-1304,ok,https://basket-15.wbbasket.ru/vol2328/part232842/232842874/info/ru/card.json,ok,4.4,Блендер стационарный настольный для смузи CT-1304,Centek,50.38691489361702,stable_positive,370.0,361.0,2.4930747922437657,193.0,177.0,9.039548022598876,0.0719759168035033,1577313.0,1538944.0,2.4932031314979675,2197.0,9339906.0,1604.0,6814560.0,1.277311471559326,2.3545172007287536,18.83896415709141,1720019.0,93310.0,11662.0,57.111,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
38.0,45.0,41,411849417,https://www.wildberries.ru/catalog/411849417/detail.aspx,2836.0,2025-05-06,419,2025-05-06T16:20:15.380184Z,2026-06-10T13:03:21.337699Z,1208250931,Погружной блендер 7в1 кухонный комбайн,ok,https://basket-23.wbbasket.ru/vol4118/part411849/411849417/info/ru/card.json,ok,4.9,Погружной блендер 7в1 кухонный комбайн,GORIZZ,24.494468085106384,declining,106.0,157.0,-32.484076433121025,37.0,69.0,-46.37681159420289,-0.332512315270936,745922.0,1104812.0,-32.48425976546236,994.0,6711947.0,895.0,6038626.0,0.8680858793692492,1.815525114155251,14.760914760914762,1145048.0,54750.0,6734.0,39.447,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
