rank,nm_id,product_name,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,feedbacks_count_raw,review_rating,wb_product_name,wb_brand,reviews_source,reviews_fetched_at,novelty_relevance_score,demand_score,efficiency_score,quality_score,momentum_score,price_score,orders_total,order_amount_total,buyouts_total,buyout_amount_total,impressions_total,clicks_total,carts_total,orders_per_1000_impressions,ctr_calc,cart_conv_calc,order_conv_calc,buyout_rate_calc,cancel_rate_calc,median_price,avg_position,recent14_orders,orders_growth_14d,impressions_growth_14d,zero_order_day_share,days
22,844743357,,https://www.wildberries.ru/catalog/844743357/detail.aspx,855.0,2026-02-23,126,2026-02-23T12:04:08.026913Z,2026-06-19T12:58:41.241824Z,426518333,Блендер портативный для смузи и коктейлей,ok,https://basket-38.wbbasket.ru/vol8447/part844743/844743357/info/ru/card.json,855.0,4.9,Блендер портативный для смузи и коктейлей,UNIQUENITY,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,55.45,0.57,0.6815999999999999,0.296,0.628,0.46,3373.0,7303147.0,2626.0,5716589.0,1941679.0,99722.0,16504.0,1.7371563476764182,5.135864373050334,16.55000902508975,3.382403080563968,77.85354284020161,14.141713608064038,1646.5,11.88888888888889,805.0,0.0024479804161567,-0.1470366121980789,0.0111111111111111,90
23,17661407,,https://www.wildberries.ru/catalog/17661407/detail.aspx,18438.0,2020-12-08,2029,2020-12-08T20:25:26Z,2026-06-03T07:37:08.571578Z,13151272,Блендер погружной PHB 1385 ручной с насадками,ok,https://basket-02.wbbasket.ru/vol176/part17661/17661407/info/ru/card.json,18438.0,4.9,Блендер погружной PHB 1385 ручной с насадками,POLARIS,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.61,0.518,0.4676,0.661,0.485,0.66,1859.0,8690085.0,1665.0,7754890.0,1924785.0,78242.0,9486.0,0.9658221567603654,4.064973490545698,12.123923212596816,2.37596175966872,89.56428187197419,12.47982786444325,3488.0,13.511111111111113,151.0,-0.0983606557377048,0.0910474460399232,0.0,90
24,445935924,,https://www.wildberries.ru/catalog/445935924/detail.aspx,1829.0,2025-06-19,375,2025-06-19T08:11:14.287637Z,2026-06-25T09:21:15.598931Z,606155304,Блендер стационарный мощный для смузи коктейлей измельчения,ok,https://basket-25.wbbasket.ru/vol4459/part445935/445935924/info/ru/card.json,1829.0,4.7,Блендер стационарный мощный для смузи коктейлей измельчения,FELFRI,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.501,0.5075999999999999,0.3272,0.679,0.678,0.72,1565.0,6892360.0,1440.0,6327524.0,4577929.0,87317.0,12130.0,0.3418576391202222,1.907347186904821,13.891911082607052,1.7923199376982717,92.01277955271566,12.587859424920127,3323.0,13.977777777777778,310.0,0.2806324110671935,1.8358533732874869,0.0,90
25,460767433,,https://www.wildberries.ru/catalog/460767433/detail.aspx,616.0,2025-07-08,356,2025-07-08T06:12:46.5381Z,2026-06-11T14:09:28.65589Z,459716739,Блендер погружной 4 в 1 с венчиком и измельчителем,ok,https://basket-26.wbbasket.ru/vol4607/part460767/460767433/info/ru/card.json,616.0,4.8,Блендер погружной 4 в 1 с венчиком и измельчителем,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.1,0.284,0.6940000000000001,0.685,0.6489999999999999,0.58,1878.0,4624222.0,1536.0,3792049.0,1112775.0,42572.0,7690.0,1.6876727101166005,3.8257509379703896,18.06351592596073,4.411350183219017,81.78913738019169,9.79765708200213,1938.5,8.977777777777778,537.0,0.5971014492753622,-0.5535160760955449,0.0,90
26,845020313,,https://www.wildberries.ru/catalog/845020313/detail.aspx,1871.0,2026-02-23,126,2026-02-23T16:16:12.109749Z,2026-06-24T12:02:37.617645Z,790067487,Блендер портативный для смузи и коктейлей 2 в 1,ok,https://basket-38.wbbasket.ru/vol8450/part845020/845020313/info/ru/card.json,1871.0,4.9,Блендер портативный для смузи и коктейлей 2 в 1,,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,53.075,0.584,0.6328,0.228,0.5730000000000001,0.48,3313.0,7888520.0,2574.0,6167655.0,1592474.0,142828.0,14684.0,2.0804107319805536,8.968937640426153,10.280897303049825,2.319573192931358,77.69393299124661,17.536975550860248,1707.0,7.355555555555555,521.0,-0.1653666146645865,0.076517543337106,0.0111111111111111,90
27,100204048,,https://www.wildberries.ru/catalog/100204048/detail.aspx,2456.0,2022-09-15,1383,2022-09-15T10:58:50.130679Z,2026-05-19T10:12:37.939192Z,1249230094,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",ok,https://basket-05.wbbasket.ru/vol1002/part100204/100204048/info/ru/card.json,2456.0,4.8,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",Pioneer,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,52.908,0.5668,0.4536,0.758,0.6239999999999999,0.1,1539.0,13544911.0,1303.0,11454175.0,1685429.0,102550.0,13442.0,0.9131206357550512,6.084504301278784,13.107752315943442,1.500731350560702,84.66536712150747,10.1364522417154,6691.0,14.144444444444444,194.0,0.4344827586206896,0.6005669999328995,0.0,90
28,839592432,,https://www.wildberries.ru/catalog/839592432/detail.aspx,3509.0,2026-02-20,129,2026-02-20T08:21:56.392641Z,2026-04-29T06:39:37.747486Z,877556446,Блендер погружной кухонный мощный,ok,https://basket-38.wbbasket.ru/vol8395/part839592/839592432/info/ru/card.json,3509.0,4.8,Блендер погружной кухонный мощный,AElectronic,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,51.19199999999999,0.4012,0.6816000000000001,0.633,0.361,0.52,2463.0,6225797.0,2326.0,5891627.0,1558571.0,50179.0,9132.0,1.5802937434354931,3.2195517560637272,18.19884812371709,4.908427828374419,94.43767762890784,14.697523345513602,1775.5,15.311111111111112,245.0,-0.3713592233009708,-0.5650004846906981,0.0,90
29,262919877,,https://www.wildberries.ru/catalog/262919877/detail.aspx,1136.0,2024-09-20,647,2024-09-20T08:50:32.247121Z,2026-06-06T08:52:59.444231Z,252574498,Блендер для коктейлей и смузи стационарный HB4,ok,https://basket-17.wbbasket.ru/vol2629/part262919/262919877/info/ru/card.json,1136.0,4.4,Блендер для коктейлей и смузи стационарный HB4,Futula,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,50.383,0.5047999999999999,0.68,0.404,0.217,0.64,2636.0,7267946.0,2226.0,6129777.0,1270541.0,101464.0,12856.0,2.0747067587744117,7.985889475428183,12.6705038240164,2.597965780966648,84.44613050075873,17.185128983308044,2016.0,7.833333333333333,65.0,-0.8326271186440678,-0.8999215790116919,0.0,90
30,291877224,,https://www.wildberries.ru/catalog/291877224/detail.aspx,1277.0,2024-11-26,580,2024-11-26T10:48:01.932629Z,2026-04-20T11:18:00.524604Z,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",ok,https://basket-18.wbbasket.ru/vol2918/part291877/291877224/info/ru/card.json,1277.0,4.7,"Блендер погружной мощный, кухонный комбайн для смузи",Mojo,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,50.28299999999999,0.4067999999999999,0.3693999999999999,0.76,0.6139999999999999,0.62,1501.0,7245072.0,1263.0,6128504.0,1476788.0,117444.0,8409.0,1.0163950411298033,7.952664837471595,7.160008174108512,1.2780559245257317,84.14390406395736,9.993337774816789,3496.5,19.566666666666663,292.0,0.2142857142857143,-0.0827512796420286,0.0,90
31,708374336,,https://www.wildberries.ru/catalog/708374336/detail.aspx,636.0,2025-12-16,195,2025-12-16T10:45:09.126131Z,2026-03-12T03:32:02.535576Z,724173790,"Блендер погружной ручной с насадками, 2000Вт",ok,https://basket-34.wbbasket.ru/vol7083/part708374/708374336/info/ru/card.json,636.0,4.8,"Блендер погружной ручной с насадками, 2000Вт",Home One,https://card.wb.ru/cards/v4/detail,2026-06-29T13:12:05+00:00,47.182,0.3812,0.4324,0.4579999999999999,0.544,0.8,1800.0,5497888.0,1437.0,4362336.0,3208150.0,50530.0,8539.0,0.5610710222402319,1.575051041877718,16.898871957253117,3.5622402533148625,79.83333333333333,8.61111111111111,2335.0,19.525641025641026,712.0,-0.2740000000000001,6.253145684556837,0.4777777777777778,90
